ABJ,Africa/Abidjan
ACC,Africa/Accra
ADD,Africa/Addis_Ababa
ALG,Africa/Algiers
ASM,Africa/Asmara
ASM,Africa/Asmera
BKO,Africa/Bamako
BGF,Africa/Bangui
BJL,Africa/Banjul
OXB,Africa/Bissau
BLZ,Africa/Blantyre
BZV,Africa/Brazzaville
BJM,Africa/Bujumbura
CAI,Africa/Cairo
CMN,Africa/Casablanca
JCU,Africa/Ceuta
CKY,Africa/Conakry
DKR,Africa/Dakar
DAR,Africa/Dar_es_Salaam
JIB,Africa/Djibouti
DLA,Africa/Douala
EUN,Africa/El_Aaiun
FNA,Africa/Freetown
GBE,Africa/Gaborone
HRE,Africa/Harare
JNB,Africa/Johannesburg
JUB,Africa/Juba
EBB,Africa/Kampala
KRT,Africa/Khartoum
KGL,Africa/Kigali
FIH,Africa/Kinshasa
LOS,Africa/Lagos
LBV,Africa/Libreville
LFW,Africa/Lome
LAD,Africa/Luanda
FBM,Africa/Lubumbashi
LUN,Africa/Lusaka
SSG,SAfrica/Malabo
MPM,Africa/Maputo
MSU,Africa/Maseru
SHO,Africa/Mbabane
MGQ,Africa/Mogadishu
ROB,Africa/Monrovia
NBO,Africa/Nairobi
NDJ,Africa/Ndjamena
NIM,Africa/Niamey
NKC,Africa/Nouakchott
OUA,Africa/Ouagadougou
COO,Africa/Porto-Novo
TMS,Africa/Sao_Tome
TOM,Africa/Timbuktu
TIP,Africa/Tripoli
TUN,Africa/Tunis
WDH,Africa/Windhoek
ADK,America/Adak
ANC,America/Anchorage
AXA,America/Anguilla
ANU,America/Antigua
AUX,America/Araguaina
EZE,America/Argentina/Buenos_Aires
CTC,America/Argentina/Catamarca
CRD,America/Argentina/ComodRivadavia
ODB,America/Argentina/Cordoba
JUJ,America/Argentina/Jujuy
IRJ,America/Argentina/La_Rioja
MDZ,America/Argentina/Mendoza
RGL,America/Argentina/Rio_Gallegos
SLA,America/Argentina/Salta
UAQ,America/Argentina/San_Juan
LUQ,America/Argentina/San_Luis
TUC,America/Argentina/Tucuman
USH,America/Argentina/Ushuaia
AUA,America/Aruba
ASU,America/Asuncion
YIB,America/Atikokan
AKB,America/Atka
SSA,America/Bahia
PVR,America/Bahia_Banderas
